,acf,bzj,cab,car,crs,djk,eng,ewe,fas,fin,fon,fra,fuv,guc,gul,hat,ibo,icr,jam,kor,kri,ktu,mai,mfe,mlg,nld,pap,pcm,por,sag,spa,sqi,srm,srn,swh,tam,tpi,twi,yom,yor,zul
fon,13.770532419536135,12.57706629406016,11.786172216986781,9.012310979826902,14.621161732586984,11.836327247554275,9.546462596498982,9.178505969354624,5.912100479895115,9.825254384479747,13.52308311888699,11.34393628783567,12.3389428598603,13.326888434343193,11.55264872951004,13.674602399155445,13.112487714480729,13.479633871771055,11.896255066028688,8.034425907617337,12.220452329438329,11.465990045074996,9.168227316548501,11.026488208110198,9.298529842157834,8.679885582146587,12.294599392405942,15.01641692020935,10.25843930183774,11.341409355684029,10.733912121563725,12.110822004775704,10.171933307810654,12.912719444070017,14.703031802773605,12.913951015943281,8.368827668428516,14.413836046487107,17.85940833521083,13.185556252314393,11.22403830073045
fra,13.462155981318908,11.366895464453885,8.949156080864727,8.87847545594533,15.414237368594549,11.685060648457945,13.625542972880709,8.980996566210191,5.912100479895115,10.142079460338929,7.839109762209433,12.423109269270743,13.370038453350919,13.861931450538034,10.382725414524044,13.700041843791821,13.333177177810281,13.465706621665054,11.110183678974886,8.384017192803329,11.598492936761973,11.598461060803535,9.840189124452714,10.617656230390429,8.955820449216587,10.342470655193337,10.102660897463442,15.524941499011224,12.204692112269507,10.805460245010929,11.926514644594938,12.366441327954703,10.36994499851659,12.169368599046372,11.626430688074867,12.94002994911849,9.21909080755272,14.647673583882057,18.199568103190998,13.08128705071675,12.973871775462642
fuv,13.383998192261656,12.889804236915413,11.634151270338384,8.922439995216486,14.94747942910927,11.33313784122804,13.14119872613222,8.668774245334497,5.912100479895115,10.552468972394463,10.205951049555004,12.535508910364394,13.598622265129496,13.552532937229048,10.774725060927505,13.645767734384176,12.649198991469133,13.488294072298224,11.432299385064596,9.06675034041032,11.889106579428276,11.798914291900914,9.630735808030456,11.270622313375693,8.794014614853635,11.21892845040751,11.84507532042697,15.081349160673877,11.13316634697022,11.430222898475547,11.427728515901874,12.007453429647025,10.577841153675601,13.011875895219474,11.970293473642258,12.899978272695789,9.21885154705038,14.719073221188372,18.023389788713033,13.164187305090039,11.702969963415168
guc,13.145891756587211,11.379545272609112,12.033422059227417,9.371387760623803,15.665852042992249,11.384448956789338,14.75402965503642,8.883672246232031,5.912100479895115,10.354922735071781,9.769772284019709,12.83325709301257,13.593036495062433,13.388126502623479,11.47450943552916,14.004692138313604,13.022494647184441,13.486857095034969,11.0675316669749,8.819100097681572,11.335834914263888,11.890378242266426,9.26875177860498,10.857433774105134,9.099527032473596,8.992298592362959,12.1736921324602,12.851306101372526,10.650641553608517,10.9178362668271,10.268417221095026,11.985587045853936,10.636999735285256,13.061998080788015,11.193500467996582,12.831623119071747,8.850997148481676,14.625325734634778,17.913809119059025,13.303363079741645,12.929879965207428
gul,13.580692682820933,12.238427850942486,8.674153531736204,8.91304001288502,15.050950945797648,11.74636936040572,13.006997166153992,8.45932689618569,5.912100479895115,10.332136603603251,8.971276647461856,13.294970298186067,13.984177752566614,13.581626509153377,10.802216594831776,13.796138680301725,12.375004312448377,13.495960399249963,11.091040088478834,9.686726673497011,11.669790662132053,11.762884893471995,9.62994426120441,10.252020628306123,8.869263982918813,10.126639172453265,12.340372952581939,15.425219630036716,11.37019102594111,10.56866135063202,13.147223726155769,11.134981508762241,10.535855431511617,11.19429860951618,12.01129716303246,12.860465087877559,9.101292176800042,14.373099970924619,17.871237613596698,13.127043209506118,12.86637919055931
hat,13.322288885454233,11.794438125038003,12.120838940057507,8.848755705906933,14.857247129954057,11.244539565077751,14.004013249608732,9.052325325015875,5.912100479895115,10.123443436562567,8.14044164960187,12.740967250502692,13.795814397764417,13.53671458797322,9.65779963981645,13.822967636359044,13.285125948525064,13.478902367730925,11.137656901281378,9.272120403937437,11.70078947546071,11.73224172996436,9.295565659593107,10.498144031303449,9.502473424572274,10.98021867159086,12.725736334016558,15.098884223397496,10.85204402274629,11.393873322058234,12.105421152048551,12.802617381213603,8.384042846637174,12.00203973794584,11.863102415815483,12.912348845650449,8.874715936578347,15.053933660004502,18.548392049445603,13.193212164952334,12.583833519694787
ibo,13.56375320276166,11.399358860826334,11.284406259124657,9.27736586989124,15.209725700400414,11.365550909993633,14.096369852467244,8.86942029451032,5.912100479895115,10.286221619900362,10.509158186184008,13.121684142578196,14.653646752923082,13.498956802034359,11.476857874623061,13.926943797657604,12.280760949323147,13.464570386102315,11.347551047672628,8.517828270729288,12.109726084096136,11.42164805786125,9.380829785661577,11.666029649466353,9.252805364592167,12.302481542056102,11.036682984565513,15.08734033494726,11.559631955165036,11.035346375972425,10.956154497025219,12.553158055634073,10.92147315380266,13.314931519370166,13.190972303925609,12.87002887902503,8.578020187026057,14.496445825601691,18.445227353898453,13.177223725906154,12.076913976123377
icr,12.7475636585549,12.024302347671224,10.09758912278655,8.795733823090032,15.307264719915809,11.344395742583755,12.877985552617535,8.405373524988551,5.912100479895115,10.658501067060065,8.792499739682407,12.921804049944246,13.452092393379214,13.648532889952552,10.035407114215635,13.058879686624126,13.116277995311599,13.48617567562171,11.261418377034326,9.648891833300956,11.786339957292913,11.896950968630104,10.10519765740168,11.295772273435707,8.793608744632246,11.228903403039048,12.88020208068219,15.07265635991764,11.894174419864182,10.75629391656823,12.51598116693324,11.492576931960242,10.061721954502886,12.259278700295223,11.489701453249864,12.856065450273658,9.479105802786213,14.771772469294408,17.860321236020766,13.116937686911772,13.007511249851264
jam,12.88691833295503,12.447985835234395,10.402852738293474,8.884852267333642,15.242614992640895,11.56639976525325,12.83765195361585,8.001269923253304,5.912100479895115,11.380606059137568,9.224818097619982,12.511703800693933,13.482709886037581,13.273041383252346,10.523182502515734,12.967773638660448,12.812034617471705,13.474841692991088,11.376937159861225,9.91432445676127,11.721932140933214,11.332418566285625,10.007594035939071,10.878676020387424,8.864510473287144,10.854164307122275,12.412420904562707,14.876076863099236,11.028305135097439,11.113751701951857,12.7219714143184,11.53616647801682,9.382658212112862,11.934280122960072,11.812146715355446,12.864372494378316,9.43242420174401,14.703884682920599,17.998994666758463,13.110603007454422,12.645014260858002
kor,13.863927999907414,12.05913694496965,10.87943740207324,9.678154751990018,11.940012277794338,12.22140269440014,1.4987588430664094,6.971684729359424,5.912100479895115,9.6153138872609,7.044242227159607,13.25746215176401,6.9458200349915,12.890559161221338,10.271996758924514,12.6727354551603,12.26413749739843,13.552562876167745,11.532467528542616,6.745131936222775,8.202974099659686,11.156821904368112,10.700023322563299,8.587240840377298,8.229529437167654,9.68501075991759,12.71407434874704,15.183532768037228,12.863734358671127,10.760562326293343,10.887402921655903,10.003263565789657,10.457219682788073,11.68723107628841,12.992788643378228,12.86604575769018,8.054170660496835,15.228063897064187,9.906928050208096,12.2448244964715,9.262883697969409
