,aoa,bah,brc,bzj,bzk,cri,crs,dcr,djk,fab,fng,fpe,gcf,gcr,gpe,gul,gyn,hat,icr,jam,kea,kri,ktu,lou,mart1259,mfe,mue,pap,pcm,pov,pre,rcf,sag,srm,srn,svc,tpi,trf,wes
mart1259,0.0,0.0,0.0,0.09013002241662178,0.0,0.0328622971439141,0.0,0.0,0.0,0.0,0.0,0.18479641369033561,0.034918904739581855,0.0,0.0,0.0,0.0,0.07475529525620643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10015837015980958,0.0,0.0,0.0,0.3716046265688614,0.027766211518534718,0.0,0.0,0.0,0.0,0.0,0.0
mfe,0.0,0.0,0.0,0.09781120865206229,0.004923935916153981,0.045567798042429296,0.0,0.0,0.0,0.0,0.0,0.2873594405615549,0.0009596222499680229,0.0,0.0,0.0,0.0,0.07546133371420556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07278213613600627,0.007701027445822837,0.0,0.013796173735542518,0.12974220061824385,0.05904241550730256,0.0,0.0,0.0,0.0,0.0,0.0
mue,0.0,0.0,0.0,0.14531146350973942,0.0,0.10342887033450925,0.0,0.0,0.0,0.037142586753704104,0.0,0.2753450578076773,0.0,0.0,0.0,0.0,0.0,0.07229763962099832,0.0,0.0,0.0,0.0,0.0,0.003512239219318103,0.0,0.0,0.0,0.0,0.0,0.0,0.022507045243853642,0.0037526191421344314,0.25601250457330726,0.0,0.0,0.0,0.0,0.0,0.0
pap,0.0,0.0,0.0,0.06395119443355975,0.0,0.036113570208357405,0.0,0.0,0.0,0.0,0.0,0.14026719595527418,1.2897615322082394e-05,0.0,0.0,0.0,0.0,0.04645803298587168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033213225801989744,0.0,0.0,0.0005259860076604922,0.2431770397063463,0.046251917305707164,0.0,0.0,0.0,0.0,0.0,1.6508450190600812e-06
pcm,0.0,0.0,0.0,0.1402241131770517,0.0,0.03819898171706083,0.0,0.0,0.0,3.741160050070422e-12,0.0,0.38337386659337297,0.0220408938634858,0.0,0.0,0.0,0.0,0.07941487192019761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14078367522320628,0.22811728493407893,0.0,0.0,0.5029074142804533,0.11416007522995744,0.0,0.0,0.0,0.0,0.0,0.0
pov,0.0,0.0,0.0,0.14535835130865576,0.07246793251323805,0.03490257652212323,0.0,0.0,0.0,0.0,0.0,0.13308626149692418,0.0,0.0,0.0,0.0,0.0,0.04331609923454083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15619299042118354,0.0,0.0,0.0491225148179896,0.09329085870931755,0.14435309242566852,0.0,0.0,0.0,0.0,0.0,0.0
pre,0.0,0.0,0.0,0.20155284454036318,0.0,0.0341921467556215,0.0,0.0,0.0,0.0,0.0,0.06895634434264983,0.0014174499667108569,0.0,0.0,0.0,0.0,0.07107205740813256,0.0,0.0,0.0,0.0,0.0,0.00479298447997255,0.0,0.0,0.0,0.03681272741110355,0.0,0.0,0.0,0.2864190511194847,0.10185688732904145,0.0,0.0,0.0,0.0,0.0,0.0
rcf,0.0,0.0,0.0,0.17636232841297372,0.0,0.031361722779102263,0.0,0.0,0.0,6.3081966827008e-07,0.0,0.17272213499087954,0.00028630753285942897,0.0,0.0,0.0,0.0,0.08595728490916059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07071254309400966,0.0,0.0,0.005013559084054361,0.32623471748479316,0.11456246138166817,0.0,0.0,0.0,0.0,0.0,0.0
sag,0.0,0.0,0.0,0.058923356771518276,0.0,0.03741095052688828,0.0,0.0,0.0,2.3594899166749443e-07,0.0,0.18601744644480322,0.0,0.0,0.0,0.0,0.0,0.08780431542767332,0.0,0.0,0.0,0.0,0.0,0.0003545044907615984,0.0,0.0,0.0,0.014109281552169487,0.002466553298893055,0.0,0.12051906205447042,0.03012178968326958,0.08762898438417656,0.0,0.0,0.0,0.0,0.0,0.0
srm,0.0,0.0,0.0,0.20949292440739845,0.13957155237646074,0.04306094108512883,0.0,0.0,0.0,0.0,0.0,0.3802797285253334,0.06432204034363778,0.0,0.0,0.0,0.0,0.06987590411212585,0.0,0.0,0.0,0.0,0.0,0.026762530575163986,0.0,0.0,0.0,0.15224338125788783,0.0,0.0,0.04471678179862553,0.46566796023164,0.2097113155268993,0.0,0.0,0.0,0.0,0.0,0.0
srn,0.0,0.0,0.0,0.11521205693570358,0.0,0.028680492385880645,0.0,0.0,0.0,0.0,0.0,0.09657748610209017,0.0,0.0,0.0,0.0,0.0,0.05967600207112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059127506997781784,0.0,0.0,0.013659268903167923,0.2833849260720564,0.11092871256840642,0.0,0.0,0.0,0.0,0.0,0.00038285109893256496
svc,0.0,0.0,0.0,0.030282014229750645,0.0191089642758329,0.02742728825196842,0.0,0.0,0.0,0.0,0.0,0.12998108987662307,0.0006715866867662483,0.0,0.0,0.0,0.0,0.06182265077381491,0.0,0.0,0.0,0.0,0.0,0.002797685877702607,0.0,0.0,0.0,0.03717467263382378,0.005890320577538597,0.0,0.03900165969924819,0.20359205434567432,0.08703427369343739,0.0,0.0,0.0,0.0,0.0,0.0004353311851772357
tpi,0.0,0.0,0.0,0.09718317108515465,0.0,0.030502587837616522,0.0,0.0,0.0,0.0,0.0,0.3064784080771761,0.003451429254015613,0.0,0.0,0.0,0.0,0.08159590294520613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05022040665430742,0.02493879748377181,0.0,0.0,0.426551447792617,0.20151999977275104,0.0,0.0,0.0,0.0,0.0,0.0
trf,0.0,0.0,0.0,0.18118949551864647,0.0,0.0622221410089163,0.0,0.0,0.0,0.0,0.0,0.16445761778759385,0.0013678825122363447,0.0,0.0,0.0,0.0,0.07968927879733789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15066823153385991,0.0,0.0,0.03508801839709108,0.1465906887689077,0.1055956083347338,0.0,0.0,0.0,0.0,0.0,0.0
wes,0.0,0.0,0.0,0.12732319784068305,0.0,0.038479834827656524,0.0,0.0,0.0,8.728362952423105e-08,0.0,0.1689991285847158,0.009917750545970577,0.0,0.0,0.0,0.0,0.04772667004544968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10207802700901496,0.1578338098105801,0.0,0.046421651587147464,0.20514855951045965,0.07205699540597613,0.0,0.0,0.0,0.0,0.0,0.0
