,asm,awa,ben,ccp,ctg,gom,guj,hif,hin,hne,hns,mag,mai,mar,mup,npi,ory,pan,rjs,rmc,rmo,rmy,san,sck,sin,snd,syl,thl,urd
rjs,0.0,0.5355077237994479,0.10551548656822929,0.0,0.0,0.4134117396876853,0.5574675617601077,0.3152487955564345,0.582115656689826,0.29418570212313533,0.0,1.2143338374961559,0.0,0.20160440692474957,0.2751914342351913,0.8568780450222011,0.4785487363187517,0.02147635471288112,5.4808830971811595,0.11999197949534945,0.06211524231929921,0.0,0.16082340660050853,0.8848535588122068,0.03683473965596029,0.015179478475886743,0.0,0.7394228867109724,0.19080663308184942
rmc,0.16904853280866838,0.20752443295590783,0.19311256424652257,0.17385955381791973,0.32510184857455293,0.39662167603465726,0.1650759693189201,0.6200332912537814,0.0,0.0,0.30906881956949483,0.0,0.0,0.3700160970336679,0.09706120735447143,0.10985889045901764,0.25716917714479415,0.15659609076910996,0.2919296141447276,8.027122822005811,0.7422781864255281,0.5916499818538146,0.6420656145917434,0.03474009825797708,0.1820029615686769,0.14287095167157382,0.2178479080950737,0.0,0.5035190947141803
rmo,0.3686635086316947,0.12586267711441934,0.240357582120577,0.39826518014560364,0.33154139447579034,0.5761737076305913,0.38099896643308107,0.37826815269557557,0.0,0.0,0.11417160262719328,0.0,0.0,0.16260720994435296,0.41762827942812475,0.17182428888095735,0.47601247851510387,0.04662284042057685,0.2744505831145734,1.235580725367683,3.028222398508589,0.7026708709307297,0.4037035828911648,0.0,0.0,0.4681578529533965,0.4160801071423741,0.38589718448410437,0.0
rmy,0.42800690544201103,0.03429308765253669,0.0954924045256611,0.2750261697390055,0.5044389811855883,0.8986417735053536,0.5288242597477453,0.5943228681412833,0.0,0.14590238890479057,0.0,0.0,0.0,0.23626171616809977,0.0649095974193381,0.16278890116221856,0.18112141484474442,0.02793540446841014,0.5183963144951775,1.0201647233237185,0.6627338993776224,3.8141266102770555,0.2302779167416098,0.05248390854199414,0.09916773863756179,0.13056572622246776,0.1406870876436077,0.12689474893698893,0.0031582888566399347
san,0.1746342437627746,0.05966972556216987,0.07692929752695399,0.0,0.0,0.2855971646105413,0.6355243712601961,0.20115505890336838,0.05982896105417801,0.0,0.14886452805545325,0.18732334479723178,0.0,0.0,0.27030230766033725,0.16891119184524328,0.5448203504958773,0.030666143557292358,0.7566467285494287,0.26175693260242205,0.0,0.0,3.0258683692755817,0.21435147165910795,0.018361845624506934,0.0,0.0,0.16721871806680078,0.03546799376917242
sck,0.0,1.2106482292847733,0.08657315984744374,0.0,0.0,0.36081420988792345,0.2890099888496511,0.4000900310405999,1.4131686904516467,1.130123491757713,0.0,2.359589257722428,0.6800857745604798,0.5324286551090438,0.5530707742937322,0.6033506778546496,0.6449002123238046,0.03429198928081867,0.5157528909930313,0.03241765174356814,0.05426413493767335,0.1325142800956911,0.07975766858898048,7.184878105976983,0.143321998333378,0.0,0.028682900495606845,0.32352670528219996,0.1373150847267013
sin,0.0,0.4060947653316056,0.09921579945496539,0.0,0.2756784823487539,0.421488482626561,0.00048418636559333095,0.44322527291254055,0.0,0.0,0.015286648404597258,0.43552171199505274,0.2214933998980726,0.19771192856814324,0.24460368572636604,0.2582895919663404,0.8199059757598857,0.015611958512616653,0.6695015558481519,0.24562095886226665,0.0,0.0,0.4599732827389289,0.1432852101068729,3.3122325641039314,0.0074367106054102905,0.01792316908774616,0.3072175701927513,0.07339662705866079
snd,0.0,0.06403262090575179,0.02140043802046776,0.0,0.0,0.35666305669232656,0.24010154040628606,0.17158394438424107,0.0,0.0,0.1644836929112241,0.5302631855218038,0.12090472334249824,0.07949035983392072,0.037993178050879095,0.0,0.48144340913957606,0.0,0.4591310961148096,0.032182137176601344,0.05563850412461768,0.09936425829604545,0.23166178625398182,0.19080137313344991,0.0,4.529621812661864,0.0,0.28918693315870136,0.20415506628459212
syl,0.11189207585794136,0.21349675406309299,0.2388529032371718,0.11470242435466815,0.0,0.055700292546518426,0.13378130899559437,0.09528013627455323,0.0,0.0,0.0,0.0,0.0,0.19022808968925986,0.0,0.12054996275394103,0.1289793920966229,0.01816769231480997,0.0,0.0,0.0,0.0,0.0,0.08092294445285297,0.0,0.0,4.5512725250276045,0.12737052907121438,0.1872401209105572
thl,0.0,0.5347040582837348,0.12365952084294829,0.0,0.0,0.3656070580269848,0.49225543208175004,0.4362782886390244,1.2627466523576523,0.5544271300836083,0.0,0.9776192872176939,0.6421751252616605,0.2769591564021674,0.2765181707533779,0.8414322929824323,0.6204212223734871,0.06612457025975971,0.389298559418922,0.02034762764630571,0.0,0.0,0.21394184793800797,0.6922379911658592,0.14612802738050856,0.008986945555126358,0.0,3.998311719729843,0.15040255303961025
